education,identity,known_relatives,link,name,other_aliases,place_of_origin,universe
High school graduate; military training (Chuck Chandler only),Secret,Peggy Chandler (Hal’s wife),https://www.marvel.com/characters/3-d-man-chandler,3-D Man,None,"Los Angeles, California",Marvel Universe
"Unrevealed, includes extensive Triune teachings",Publicly known,None,https://www.marvel.com/characters/3-d-man-delroy-garrett,3-D Man,3-D Man,"Philadelphia, Pennsylvania",Marvel Universe
Advanced degree in engineering,Scret,Unidentified grandmother,https://www.marvel.com/characters/8-ball-jeff-hagees,8-Ball,None,"Duluth, Minnesota",Marvel Universe
9th grade,Secret,Unrevealed,https://www.marvel.com/characters/a-lady-killers,A,None known,Unrevealed,Marvel Universe
unrevealed,None,unrevealed,https://www.marvel.com/characters/aardwolf,Aardwolf,unrevealed,unrevealed,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/abdul-alhazred,Abdul Alhazred,"The Mad Arab, Master, Death God",Saudi Arabia,Marvel Universe
"Unrevealed, but Aberration received military training",Secret,Unrevealed,https://www.marvel.com/characters/aberration,Aberration,None,Unrevealed,Marvel Universe
Unrevealed,Last name known to authorities,"Unidentified father & mother, Lothihanrianiaxus (“Lothi,” half-brother)",https://www.marvel.com/characters/abigail-brand,Abigail Brand,"Agent Brand, Commander, “Abby”",Unrevealed,Marvel Universe
Unrevealed,Secret,"Nadia Dornova Blonsky (wife, divorced)",https://www.marvel.com/characters/abomination,Abomination,"Agent R-7, the Ravager of Worlds","Zagreb, Yugoslavia",Marvel Universe
No formal education,No dual identity,"Eternity (""Father"")",https://www.marvel.com/characters/abraxas,Abraxas,unrevealed,Within Eternity,Marvel Universe
High school dropout,Publicly known,"Mary MacPherran (Titania, wife); Davis Rockwell (cousin)",https://www.marvel.com/characters/absorbing-man,Absorbing Man,"Rocky Davis, Lightningbolt","New York City, New York",Marvel Universe
Unrevealed,Secret,"Azazel (father), Kurt Wagner (Nightcrawler, half-brother), Kiwi Black (half-brother), other half-siblings (deceased)",https://www.marvel.com/characters/abyss,Abyss,None,Unrevealed location in Genosha,Marvel Universe
Unrevealed,Unrevealed,"Mystique (mother), Nightcrawler (brother)",https://www.marvel.com/characters/abyss-age-of-apocalypse,Abyss,None,Unknown,Age of Apocalypse
Unrevealed,Secret,Unrevealed,https://www.marvel.com/characters/abyss-alien,Abyss,None,Unrevealed,Marvel Universe
Unrevealed,Secret,Unrevealed,https://www.marvel.com/characters/ace-g-r-a-m-p-a,Ace,None,Unrevealed,Marvel Universe
"Ph.D. in Law (Yale), degrees in Psychology, Political Science and Divinity",Secret,Unidentified alleged wife (deceased),https://www.marvel.com/characters/achebe,Achebe,"Reverend Doctor Michael ibn al-Hajj Achebe, Bob",Ghudaza,Marvel Universe
Unrevealed,Known to authorities,None,https://www.marvel.com/characters/acrobat-carl-zante,Acrobat,"Captain America, World’s Greatest Acrobat",Unrevealed,Marvel Universe
Unrevealed,Public within the Microverse,Unidentified father (King),https://www.marvel.com/characters/acroyear,Acroyear,None,Spartak,Marvel Universe
Unrevealed,Secret,"Albert Destine (son), Argent (Samantha Destine) (daughter), Cap’n Oz (William Destine) (son), Crimson Crusader (Rory Destine) (son), Cuckoo (Kay Cera) (daughter), Flo Destine (daughter, deceased), Gracie Destine (daughter, deceased), Hex (Dominic Destine) (son), Imp (Pandora Destine) (daughter), Maurice Destine (son, deceased), Newton Destine (son), Vincent Destine (son, deceased), Wallop (Walter Destine) (son)",https://www.marvel.com/characters/adam-destine,Adam Destine,Adam of Ravenscroft,"Ravenscroft, England of the 1100’s",Marvel Universe
None,None,None,https://www.marvel.com/characters/adam-ii-earth-8206,Adam II,None,None,616
Unrevealed,Publicly known,Unidentified parents,https://www.marvel.com/characters/adam-mann,Adam Mann,None,Unrevealed,Marvel Universe
Inapplicable,Inapplicable,"Super-Adaptoid (creator), A.I.M. (creator), Super-Adaptoid (Belova) (fellow Adaptoid), Batch-13 (fellow Adaptoid), Paragon (fellow Adaptoid), Adaptoids (fellow Adaptoids), Kubik (""uncle""), Ultra-Adaptoid (fellow Adaptoid)",https://www.marvel.com/characters/adaptoid-new-enforcers,Adaptoid,Super-Adaptoid,Inapplicable,Marvel Universe
Inapplicable,Inapplicable,"A.I.M. (creators), Super-Adaptoid (creator, ""father""), Ultra-Adaptoid (fellow Adaptoid), Batch-13 (fellow Adaptoid), Super-Adaptoid (Yelena Belova) (fellow Adaptoid), Paragon (fellow Adaptoid), Adaptoid (New Enforcers) (fellow Adaptoid), Kubik (""uncle"")",https://www.marvel.com/characters/adaptoid-spawn,Adaptoid,Super-Adaptoids,Inapplicable,Marvel Universe
Unrevealed,Secret,Geronimo Crowe (possible son),https://www.marvel.com/characters/administrator,Administrator,Unrevealed,Unrevealed,Marvel Universe
Unrevealed,Inapplicable,None,https://www.marvel.com/characters/adversary,Adversary,"Great Trickster, formerly Naze",Inapplicable,Marvel Universe
Unrevealed,Inapplicable; the general populace of Earth is unaware of Aegis' existence,Unrevealed,https://www.marvel.com/characters/aegis-lady-of-all-sorrows,Aegis,"Lady of All Sorrows, She of All Sorrows",The Living Universe,Marvel Universe
High school student,Secret,Mother (name unrevealed),https://www.marvel.com/characters/aegis-trey-rollins,Aegis,unrevealed,"Brooklyn, New York",Marvel Universe
None,None,None,https://www.marvel.com/characters/aero-lei-ling,Aero,None,None,None
None,None,None,https://www.marvel.com/characters/aero-melody-guthrie,Aero,None,None,None
Unknown,"Secret, known to authorities and several super-heroes","Jonathan Dillon (grand-father, deceased), Anita Dillon (grand-mother, deceased), Maxwell ""Max"" Dillon (Electro, father), Marilyn (mother, deceased)",https://www.marvel.com/characters/aftershock-earth-982,Aftershock,Electra,Unknown,MC2 (Earth-982)
None,None,None,https://www.marvel.com/characters/agatha-harkness,Agatha Harkness,None,None,None
Trained by the Vishanti; extensively self-taught,No dual identity,None,https://www.marvel.com/characters/aged-genghis,Aged Genghis,"Exalted One, All-Knowing Genghis",Unrevealed,Marvel Universe
College graduate; extensive martial arts training,,Publicly known,Daniel Lowe (Father) Amber Shook (Mother),https://www.marvel.com/characters/agent-rick-mason,Agent,unrevealed,"Fort Wayne, IN",Marvel Universe
Unrevealed,Secret,"Minamiyori (brother, deceased)",https://www.marvel.com/characters/agent-x-nijo,Agent X,Alex Hayden,Unrevealed,Marvel Universe
Unrevealed,"Secret, known to certain government officials","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), Son James Nord(deceased)",https://www.marvel.com/characters/agent-zero,Agent Zero,"Formerly Maverick, David North, Agent Zero",Unrevealed location in former East Germany,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/aggamon,Aggamon,Agammon the All-Powerful,Unrevealed,Marvel Universe
